"","STUDENT__C","ID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTACTIVITYDATE","LASTVIEWEDDATE","LASTREFERENCEDDATE","SCHOOL__C","ACTUAL_END_DATE__C","STARTINGGRADE__C","ENDINGGRADE__C","LIVING_ON_CAMPUS__C","DATE_LAST_VERIFIED__C","HIGHEST_SAT_SCORE__C","SOURCE__C","NOTES__C","PURSUING_DEGREE_TYPE__C","START_DATE__C","STATUS__C","TRANSFER_REASON__C","TYPE__C","MAJOR_AREA__C","STUDENT_HS_COHORT__C","NUMBER_OF_MARKING_PERIODS__C","ANTICIPATED_GRADUATION__C","FINAL_GPA__C","GRAD_YEAR__C","MAJOR__C","COLLEGE_MAJOR_DECLARED__C","OTHER_MAJOR__C","NSC_VERIFIED__C","DUAL_ENROLLMENT__C","CLASS_RANK_PERCENTILE__C","Enrollment.SCHOOL__C","School.Name","Type","ADJUSTED_6_YEAR_GRADUATION_RATE__C","COMPETITIVENESS_RANKING__C","COMPETITIVENESS_INDEX__C","student_id","local_student_id"
"1","00380000010UhmcAAC","a08C000000U5hPgIAJ",FALSE,NA,"2014-05-01T23:30:26.000Z","005C0000003sZiUIAU","2014-10-08T23:06:16.000Z","005C0000006wSJzIAM","2014-10-08T23:06:16.000Z","","","","0018000000Y9oLiAAJ","",NA,NA,FALSE,"10/7/2014",1170,"Salesforce","","Bachelor's (4-year)","5/1/2014","Attending","","College","",2014,2,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,"0018000000Y9oLiAAJ","California State University-Chico","Public 4 yr",56.1,"Competitive",-0.68,2373,2013371
"2","00380000010UhmcAAC","a0880000008xTXRAA2",FALSE,NA,"2010-08-25T18:12:14.000Z","00580000003U34WAAS","2012-12-19T15:38:28.000Z","005C0000003CMzbIAG","2012-12-19T15:38:28.000Z","","","","0018000000juv5cAAA","6/30/2010",5,NA,FALSE,"",1170,"Salesforce","","Certificate","9/1/2006","Graduated","","Middle School","",2014,0,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2373,2013371
"3","00380000010UhmcAAC","a0880000008zQWjAAM",FALSE,NA,"2010-09-26T06:46:00.000Z","00580000003U38wAAC","2014-09-03T22:54:44.000Z","005C0000004gIFSIA2","2014-09-03T22:54:44.000Z","","","","0018000000kxhmWAAQ","6/30/2014",NA,NA,FALSE,"",1170,"Salesforce","","High School Diploma","9/26/2010","Graduated","","High School","",2014,2,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2373,2013371
"4","00380000010UhmdAAC","a08C000000U4swSIAR",FALSE,NA,"2014-04-28T19:25:30.000Z","005C0000003sZiUIAU","2014-09-08T22:58:51.000Z","005C0000006wSJzIAM","2014-09-08T22:58:51.000Z","","","","0018000000Y9oLoAAJ","",NA,NA,FALSE,"9/8/2014",0,"Salesforce","","Bachelor's (4-year)","9/1/2014","Attending","","College","",2014,3,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,"0018000000Y9oLoAAJ","California State University-Los Angeles","Public 4 yr",35.7,"Competitive",-1.83,2295,2013001
"5","00380000010UhmdAAC","a0880000008xTXSAA2",FALSE,NA,"2010-08-25T18:12:14.000Z","00580000003U34WAAS","2012-12-19T15:38:28.000Z","005C0000003CMzbIAG","2012-12-19T15:38:28.000Z","","","","0018000000juv5cAAA","6/30/2010",5,NA,FALSE,"",0,"Salesforce","","Certificate","9/1/2006","Graduated","","Middle School","",2014,0,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2295,2013001
"6","00380000010UhmdAAC","a0880000008yfw3AAA",FALSE,NA,"2010-09-14T20:30:42.000Z","00580000003U34WAAS","2014-09-08T22:04:42.000Z","005C0000003teDhIAI","2014-09-08T22:04:42.000Z","","","","0018000000kxhm8AAA","6/30/2014",9,NA,FALSE,"9/8/2014",0,"Salesforce","","High School Diploma","9/1/2010","Graduated","","High School","",2014,0,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2295,2013001
"7","00380000010UhmeAAC","a08C000000U7BHPIA3",FALSE,NA,"2014-05-08T18:24:27.000Z","005C0000003sZiUIAU","2014-07-21T16:45:42.000Z","005C0000006wSJzIAM","2014-07-21T16:45:42.000Z","","","","0018000000Y9oLoAAJ","",NA,NA,FALSE,"7/18/2014",1400,"Salesforce","","Bachelor's (4-year)","9/1/2014","Attending","","College","",2014,3,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,"0018000000Y9oLoAAJ","California State University-Los Angeles","Public 4 yr",35.7,"Competitive",-1.83,2293,2013151
"8","00380000010UhmeAAC","a0880000008xTXTAA2",FALSE,NA,"2010-08-25T18:12:14.000Z","00580000003U34WAAS","2012-12-19T15:38:28.000Z","005C0000003CMzbIAG","2012-12-19T15:38:28.000Z","","","","0018000000juv5cAAA","6/30/2010",5,NA,FALSE,"",1400,"Salesforce","","Certificate","9/1/2006","Graduated","","Middle School","",2014,0,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2293,2013151
"9","00380000010UhmeAAC","a0880000008yfw4AAA",FALSE,NA,"2010-09-14T20:30:42.000Z","00580000003U34WAAS","2014-07-21T16:43:18.000Z","005C0000006wSJzIAM","2014-07-21T16:43:18.000Z","","","","0018000000kxhmWAAQ","6/30/2014",9,NA,FALSE,"7/18/2014",1400,"Salesforce","","High School Diploma","9/1/2010","Graduated","","High School","",2014,2,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2293,2013151
"10","00380000010UhmfAAC","a0880000008yfw5AAA",FALSE,NA,"2010-09-14T20:30:42.000Z","00580000003U34WAAS","2014-09-08T22:12:58.000Z","005C0000003teDhIAI","2014-09-08T22:12:58.000Z","","","","0018000000kxhmWAAQ","6/30/2014",9,12,FALSE,"9/8/2014",1310,"Salesforce","","High School Diploma","9/1/2010","Graduated","","High School","",2014,2,"",NA,NA,"",FALSE,"",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2350,2013005
