"year","student_id","present","excusedabsent","excusedtardy","absent","tardy","truant","inschoolsuspension","suspended"
"2015","12558","141","0","0","13","12","4","0","0"
"2016","14000","29","0","0","0","0","0","0","0"
"2014","11477","171","0","0","1","1","0","0","0"
"2015","15148","79","0","0","4","80","3","0","0"
"2016","7137","26","0","0","0","2","0","0","0"
"2014","10946","154","0","1","2","17","0","0","0"
"2015","13429","164","0","0","4","0","0","0","0"
"2014","11637","162","0","2","1","1","1","0","0"
"2015","11632","79","0","0","2","63","13","0","0"
"2015","12934","158","0","0","6","4","1","0","0"
"2015","12599","91","0","0","5","72","8","0","0"
"2014","13326","175","0","0","0","0","0","0","0"
"2015","14284","119","0","0","1","55","1","0","0"
"2016","16890","10","0","0","2","11","2","0","0"
"2015","14209","161","0","0","0","15","0","0","0"
"2016","7152","28","0","0","0","1","0","0","0"
"2015","11902","117","0","0","1","53","1","0","0"
"2016","12690","10","0","0","0","18","0","0","0"
"2016","12977","28","0","0","0","0","0","0","0"
"2013","6883","135","0","0","0","43","0","0","0"
"2014","10321","180","0","1","0","0","0","0","0"
"2014","3130","155","0","0","1","17","1","0","0"
"2015","6831","118","0","0","3","40","5","0","0"
"2015","11534","157","0","0","4","12","0","0","0"
"2016","15200","28","0","0","0","0","1","0","0"
"2014","12860","163","0","0","2","16","1","0","0"
"2015","7003","45","0","0","0","1","0","0","0"
"2016","6588","22","0","0","0","5","0","0","0"
"2016","6758","29","0","0","0","0","0","0","0"
"2016","13114","28","0","0","0","1","0","0","0"
"2013","2423","173","0","0","1","1","0","0","0"
"2016","14963","25","0","0","0","4","0","0","0"
"2014","7094","168","0","0","5","6","1","0","0"
"2014","6908","164","0","0","2","8","0","0","0"
"2016","16066","26","0","0","1","2","0","0","0"
"2016","14669","29","0","0","0","0","0","0","0"
"2014","13106","101","0","0","17","45","12","0","0"
"2015","12706","148","0","0","3","1","1","0","0"
"2016","6881","28","0","0","0","1","0","0","0"
"2012","3404","0","0","0","0","6","0","0","0"
"2013","11808","15","0","0","3","11","1","0","0"
"2013","6621","126","0","0","1","39","14","0","0"
"2016","15515","29","0","0","0","0","0","0","0"
"2016","6811","27","0","0","0","0","1","0","0"
"2016","11977","26","0","0","3","0","0","0","0"
"2015","6551","168","0","0","3","0","0","0","0"
"2016","14028","28","0","0","0","1","0","0","0"
"2013","10486","153","0","0","5","21","0","0","0"
"2013","2518","115","0","0","4","22","0","0","3"
"2014","12956","154","0","0","15","11","1","0","0"
"2013","3330","154","0","0","6","11","0","0","0"
"2015","6620","120","0","0","6","44","2","0","0"
"2012","2979","0","0","0","2","0","0","0","0"
"2014","3065","165","0","0","5","4","1","0","0"
"2012","2981","0","0","0","5","1","0","0","0"
"2015","12785","167","0","0","1","0","0","0","1"
