,StudentId,AssessmentGrade,GE-Grade,GE-Grade_MAX
0,10008,6,0.18,1.2
1,10008,7,0.2,0.2
2,10009,6,1.7,2.8
3,10009,7,3.9,3.9
4,11671,7,-1.1,-1.1
5,11681,7,-2.425,-2.2
6,11681,8,-4.5,-4.5
7,11688,7,-3.1,-3.1
8,11690,7,0.8,0.8
9,11698,7,-2.72,-1.4
10,11698,8,-2.1,-2.1
11,11705,7,-1.3,-1.3
12,11706,7,0.2,0.8
13,11710,7,-2.6,-2.6
14,11712,7,-1.18,-0.2
15,11712,8,-2.65,-1.2
16,11713,7,-2.1,-2.1
17,11716,7,-2.65,-1.6
18,11716,8,-3.6,-3.6
19,11719,7,-2.325,-1.8
20,11719,8,-4.4,-4.4
21,11720,7,-3.32,-2.7
22,11720,8,-4.9,-4.9
23,11722,7,0.55,1.9
24,11722,8,0.0,0.0
25,11724,7,-1.91666666667,-1.5
26,11724,8,-1.0,-1.0
27,11726,7,-1.325,-1.0
28,11726,8,-1.8,-1.8
29,11732,7,-0.157142857143,0.9
30,11732,8,1.5,1.5
31,11733,7,-0.877777777778,0.6
32,11733,8,-1.2,-1.2
33,11735,7,-2.4,-1.6
34,11735,8,-2.8,-2.8
35,11736,7,-0.62,0.1
36,11736,8,-2.1,-2.1
37,11738,7,-3.82,-2.8
38,11738,8,-3.2,-3.2
39,11740,7,-1.125,-0.5
40,11740,8,-5.2,-5.2
41,11741,7,-1.4,-0.4
42,11744,7,-1.11666666667,-0.6
43,11744,8,-2.0,-2.0
44,11746,7,-1.3,0.1
45,11746,8,-1.6,-1.6
46,11748,7,-1.225,-0.4
47,11748,8,-2.6,-2.6
48,11749,7,-2.2,-2.2
49,11753,7,-0.7,-0.7
50,11754,7,-4.2,-4.2
51,11755,7,-1.825,-1.2
52,11755,8,-2.4,-2.4
53,11756,7,0.366666666667,0.8
54,11758,7,-2.9,-2.3
55,11758,8,-4.6,-4.6
56,11759,7,-2.5,-1.9
57,11759,8,-3.1,-3.1
58,11775,7,1.7763568394e-16,1.3
59,11775,8,-2.0,-2.0
60,11779,7,0.275,1.3
61,11779,8,-1.1,-1.1
62,11797,7,-2.86,-2.2
63,11797,8,-3.4,-3.4
64,11798,7,-2.525,-1.7
65,11798,8,-3.3,-3.3
66,11800,7,-2.5,-2.5
67,11814,7,-4.74285714286,-4.2
68,11825,7,-0.633333333333,1.4
69,11825,8,-1.2,-1.2
70,11827,7,-2.8,-2.2
71,11827,8,-3.4,-3.4
72,11829,7,-4.5,-4.5
73,11830,7,-1.2,-1.2
74,11832,7,2.8,4.9
75,11832,8,2.3,2.3
76,11833,7,-1.76,-0.1
77,11833,8,-3.8,-3.8
78,11843,7,-0.15,1.6
79,11846,7,-0.9,-0.1
80,11846,8,-5.3,-5.3
81,11848,7,-1.56666666667,-0.8
82,11848,8,-2.7,-2.7
83,11849,7,-2.35,-2.1
84,11849,8,-4.5,-4.5
85,11862,7,-2.3,-2.0
86,11862,8,-1.9,-1.9
87,11865,5,0.4,0.4
88,11866,5,0.8,0.8
89,11869,7,-2.96666666667,-1.9
90,11869,8,-3.6,-3.6
91,11870,7,0.58,1.0
92,11870,8,0.6,0.6
93,11871,7,-0.344444444444,0.8
94,11871,8,0.3,0.3
95,11880,7,-3.8,-3.8
96,11887,7,0.0,0.0
97,11888,7,-1.5,-1.5
98,11894,7,-0.5,0.2
99,11894,8,-1.9,-1.9
100,11896,7,-1.8,-1.0
101,11896,8,-3.0,-3.0
102,11901,7,-2.675,-2.2
103,11923,7,-2.775,-1.7
104,11923,8,-2.7,-2.7
105,11924,7,-0.975,-0.3
106,11924,8,-2.0,-2.0
107,11936,5,0.8,0.8
108,11936,6,-0.3,-0.3
109,11937,5,-2.4,-2.4
110,11939,7,-2.725,-1.6
111,11939,8,-4.2,-4.2
112,11940,5,-1.9,-1.9
113,11948,7,-3.0,-3.0
114,11950,7,5.68,6.0
115,11950,8,5.0,5.0
116,11962,6,-3.31666666667,-2.1
117,11962,7,-4.2,-4.2
118,12002,7,0.18,1.6
119,12004,7,-1.45,-0.6
120,12004,8,-3.9,-3.9
121,12007,7,-1.5,-1.5
122,12011,7,-3.825,-2.9
123,12011,8,-4.2,-4.2
124,12015,7,-0.48,0.0
125,12015,8,-1.5,-1.5
126,12022,7,-3.7,-2.7
127,12022,8,-3.8,-3.8
128,12023,7,-4.78888888889,-4.3
129,12023,8,-6.4,-6.4
130,12025,7,-2.775,-2.1
131,12025,8,-4.4,-4.4
132,12028,7,1.6,3.2
133,12028,8,0.3,0.3
134,12030,7,-3.06666666667,-2.5
135,12030,8,-5.0,-5.0
136,12031,7,-1.4,-1.4
137,12032,7,0.2,0.9
138,12032,8,0.3,0.3
139,12036,7,1.05,3.4
140,12036,8,1.9,1.9
141,12039,7,-1.9,-1.9
142,12040,7,-1.55,-0.9
143,12040,8,-2.0,-2.0
144,12042,5,-0.6,-0.6
145,12046,7,-2.0,-0.7
146,12046,8,-3.4,-3.4
147,12049,7,-0.95,0.2
148,12049,8,-2.6,-2.6
149,12323,6,-3.23333333333,-3.0
150,12375,6,-2.7875,-1.2
151,12375,7,-1.9,-1.9
152,12377,6,-2.22,-1.0
153,12378,6,-0.1,1.0
154,12378,7,-0.8,-0.8
155,12379,6,-2.82857142857,-0.8
156,12379,7,-3.8,-3.8
