caaspp_2015_ela_id,student_id,caaspp_2015_ela_testGradeLevel,caaspp_2015_ela_testTakenText,caaspp_2015_assessType,caaspp_2015_ela_testDate,caaspp_2015_ela_performanceLevel,caaspp_2015_ela_performanceLevelText,caaspp_2015_ela_scaleScore,caaspp_2015_ela_errorbandMin,caaspp_2015_ela_errorbandMax,caaspp_2015_ela_cluster1Text,caaspp_2015_ela_cluster1PerformanceLevel,caaspp_2015_ela_cluster1PerformanceLevelText,caaspp_2015_ela_cluster1ScaleScore,caaspp_2015_ela_cluster1errorbandMin,caaspp_2015_ela_cluster1errorbandMax,caaspp_2015_ela_cluster2Text,caaspp_2015_ela_cluster2PerformanceLevel,caaspp_2015_ela_cluster2PerformanceLevelText,caaspp_2015_ela_cluster2ScaleScore,caaspp_2015_ela_cluster2errorbandMin,caaspp_2015_ela_cluster2errorbandMax,caaspp_2015_ela_cluster3Text,caaspp_2015_ela_cluster3PerformanceLevel,caaspp_2015_ela_cluster3PerformanceLevelText,caaspp_2015_ela_cluster3ScaleScore,caaspp_2015_ela_cluster3errorbandMin,caaspp_2015_ela_cluster3errorbandMax,caaspp_2015_ela_cluster4Text,caaspp_2015_ela_cluster4PerformanceLevel,caaspp_2015_ela_cluster4PerformanceLevelText,caaspp_2015_ela_cluster4ScaleScore,caaspp_2015_ela_cluster4errorbandMin,caaspp_2015_ela_cluster4errorbandMax,caaspp_2015_assessYear,caaspp_2015_assessSubject,caaspp_2015_assessmentGuid,caaspp_2015_assessmentLocationID,caaspp_2015_assessmentLocation,caaspp_2015_assessmentLevel,caaspp_2015_ela_accomASL,caaspp_2015_ela_accomNoiseBuffer,caaspp_2015_ela_accomPrintOnDemandItems,caaspp_2015_ela_accomBraille,caaspp_2015_ela_accomClosedCaptioning,caaspp_2015_ela_accomTextToSpeech,caaspp_2015_ela_accomAbacus,caaspp_2015_ela_accomAlternateResponseOptions,caaspp_2015_ela_accomCalc,caaspp_2015_ela_accomMultiplicationTable,caaspp_2015_ela_accomPrintOnDemand,caaspp_2015_ela_accomReadAloud,caaspp_2015_ela_accomScribe,caaspp_2015_ela_accomSpeechToText,caaspp_2015_ela_accomStreamLineMode
20,6607,3,Grade 3 ELA Interim Comprehensive,INTERIM COMPREHENSIVE,3/16/2015,4,Level 4,2505,2481,2529,Reading,3,Above Standard,2506,2468,2543,Writing,2,At/Near Standard,2456,2417,2496,Listening,3,Above Standard,2566,2497,2636,Research & Inquiry,3,Above Standard,2543,2490,2596,2015,ELA,784d13f0-b2ed-11e4-868a-406c8f57365f,ca-7915-3,,3,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
960,14575,5,Grade 5 ELA Summative (Final),Summative (Final),\N,3,Standard Met,2530,2505,2555,Reading,2,At/Near Standard,\N,\N,\N,Writing,2,At/Near Standard,\N,\N,\N,Listening,2,At/Near Standard,\N,\N,\N,Research/Inquiry,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1071,14566,5,Grade 5 ELA Summative (Final),Summative (Final),\N,3,Standard Met,2523,2499,2547,Reading,2,At/Near Standard,\N,\N,\N,Writing,2,At/Near Standard,\N,\N,\N,Listening,2,At/Near Standard,\N,\N,\N,Research/Inquiry,3,Above Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
905,14583,5,Grade 5 ELA Summative (Final),Summative (Final),\N,1,Standard Not Met,2410,2385,2435,Reading,1,Below Standard,\N,\N,\N,Writing,2,At/Near Standard,\N,\N,\N,Listening,1,Below Standard,\N,\N,\N,Research/Inquiry,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
991,6417,5,Grade 5 ELA Summative (Final),Summative (Final),\N,3,Standard Met,2576,2550,2602,Reading,2,At/Near Standard,\N,\N,\N,Writing,2,At/Near Standard,\N,\N,\N,Listening,3,Above Standard,\N,\N,\N,Research/Inquiry,3,Above Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
897,14653,5,Grade 5 ELA Summative (Final),Summative (Final),\N,4,Standard Exceeded,2628,2602,2654,Reading,3,Above Standard,\N,\N,\N,Writing,3,Above Standard,\N,\N,\N,Listening,3,Above Standard,\N,\N,\N,Research/Inquiry,3,Above Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1008,6392,6,Grade 6 ELA Summative (Final),Summative (Final),\N,2,Standard Nearly Met,2479,2454,2504,Reading,1,Below Standard,\N,\N,\N,Writing,2,At/Near Standard,\N,\N,\N,Listening,2,At/Near Standard,\N,\N,\N,Research/Inquiry,1,Below Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
762,15198,6,Grade 6 ELA Summative (Final),Summative (Final),\N,1,Standard Not Met,2332,2295,2369,Reading,1,Below Standard,\N,\N,\N,Writing,1,Below Standard,\N,\N,\N,Listening,1,Below Standard,\N,\N,\N,Research/Inquiry,1,Below Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1250,11054,7,Grade 7 ELA Summative (Final),Summative (Final),\N,\N,Did not attempt,\N,\N,\N,Reading,9,\N,\N,\N,\N,Writing,9,\N,\N,\N,\N,Listening,9,\N,\N,\N,\N,Research/Inquiry,9,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1761,10835,7,Grade 7 ELA Summative (Final),Summative (Final),\N,1,Standard Not Met,2442,2413,2471,Reading,1,Below Standard,\N,\N,\N,Writing,1,Below Standard,\N,\N,\N,Listening,2,At/Near Standard,\N,\N,\N,Research/Inquiry,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
