caaspp_2015_math_id,student_id,caaspp_2015_math_testGradeLevel,caaspp_2015_math_testTakenText,caaspp_2015_assessType,caaspp_2015_math_testDate,caaspp_2015_math_performanceLevel,caaspp_2015_math_performanceLevelText,caaspp_2015_math_scaleScore,caaspp_2015_math_errorbandMin,caaspp_2015_math_errorbandMax,caaspp_2015_math_cluster1Text,caaspp_2015_math_cluster1PerformanceLevel,caaspp_2015_math_cluster1PerformanceLevelText,caaspp_2015_math_cluster1ScaleScore,caaspp_2015_math_cluster1errorbandMin,caaspp_2015_math_cluster1errorbandMax,caaspp_2015_math_cluster2Text,caaspp_2015_math_cluster2PerformanceLevel,caaspp_2015_math_cluster2PerformanceLevelText,caaspp_2015_math_cluster2ScaleScore,caaspp_2015_math_cluster2errorbandMin,caaspp_2015_math_cluster2errorbandMax,caaspp_2015_math_cluster3Text,caaspp_2015_math_cluster3PerformanceLevel,caaspp_2015_math_cluster3PerformanceLevelText,caaspp_2015_math_cluster3ScaleScore,caaspp_2015_math_cluster3errorbandMin,caaspp_2015_math_cluster3errorbandMax,caaspp_2015_math_cluster4Text,caaspp_2015_math_cluster4PerformanceLevel,caaspp_2015_math_cluster4PerformanceLevelText,caaspp_2015_math_cluster4ScaleScore,caaspp_2015_math_cluster4errorbandMin,caaspp_2015_math_cluster4errorbandMax,caaspp_2015_assessYear,caaspp_2015_assessSubject,caaspp_2015_assessmentGuid,caaspp_2015_assessmentLocationID,caaspp_2015_assessmentLocation,caaspp_2015_assessmentLevel,caaspp_2015_math_accomASL,caaspp_2015_math_accomNoiseBuffer,caaspp_2015_math_accomPrintOnDemandItems,caaspp_2015_math_accomBraille,caaspp_2015_math_accomClosedCaptioning,caaspp_2015_math_accomTextToSpeech,caaspp_2015_math_accomAbacus,caaspp_2015_math_accomAlternateResponseOptions,caaspp_2015_math_accomCalc,caaspp_2015_math_accomMultiplicationTable,caaspp_2015_math_accomPrintOnDemand,caaspp_2015_math_accomReadAloud,caaspp_2015_math_accomScribe,caaspp_2015_math_accomSpeechToText,caaspp_2015_math_accomStreamLineMode
13,10479,4,Grade 4 Math Interim Comprehensive,INTERIM COMPREHENSIVE,3/18/2015,3,Level 3,2496,2476,2516,Concepts & Procedures,2,At/Near Standard,2491,2464,2517,Problem Solving and Modeling & Data Analysis,2,At/Near Standard,2475,2438,2512,Communicating Reasoning,2,At/Near Standard,2567,2508,2625,\N,\N,\N,\N,\N,\N,2015,Math,49c6e6a6-b2f1-11e4-83e0-406c8f57365f,ca-f43c-3,,4,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
75,11931,3,Grade 3 Math Interim Comprehensive,INTERIM COMPREHENSIVE,3/23/2015,1,Level 1,2218,2189,2270,Concepts & Procedures,1,Below Standard,2219,2161,2276,Problem Solving and Modeling & Data Analysis,2,At/Near Standard,2280,2161,2398,Communicating Reasoning,2,At/Near Standard,2189,1990,2387,\N,\N,\N,\N,\N,\N,2015,Math,e1a96be0-0279-40f3-a295-c31254bfc807,ca-fbc8-1,,3,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
67,11575,4,Grade 4 Math Interim Comprehensive,INTERIM COMPREHENSIVE,3/18/2015,3,Level 3,2517,2496,2537,Concepts & Procedures,2,At/Near Standard,2517,2488,2547,Problem Solving and Modeling & Data Analysis,2,At/Near Standard,2503,2468,2537,Communicating Reasoning,2,At/Near Standard,2551,2494,2607,\N,\N,\N,\N,\N,\N,2015,Math,49c6e6a6-b2f1-11e4-83e0-406c8f57365f,ca-07e2-4,,4,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
66,6901,4,Grade 4 Math Interim Comprehensive,INTERIM COMPREHENSIVE,3/18/2015,3,Level 3,2541,2519,2564,Concepts & Procedures,3,Above Standard,2555,2520,2590,Problem Solving and Modeling & Data Analysis,3,Above Standard,2546,2509,2582,Communicating Reasoning,2,At/Near Standard,2495,2439,2551,\N,\N,\N,\N,\N,\N,2015,Math,49c6e6a6-b2f1-11e4-83e0-406c8f57365f,ca-07e2-4,,4,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
24,6705,4,Grade 4 Math Interim Comprehensive,INTERIM COMPREHENSIVE,3/18/2015,3,Level 3,2535,2513,2557,Concepts & Procedures,2,At/Near Standard,2524,2493,2554,Problem Solving and Modeling & Data Analysis,2,At/Near Standard,2526,2492,2561,Communicating Reasoning,3,Above Standard,2602,2537,2666,\N,\N,\N,\N,\N,\N,2015,Math,49c6e6a6-b2f1-11e4-83e0-406c8f57365f,ca-bcf7-3,,4,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
53,6539,4,Grade 4 Math Interim Comprehensive,INTERIM COMPREHENSIVE,3/18/2015,3,Level 3,2514,2494,2535,Concepts & Procedures,2,At/Near Standard,2491,2464,2517,Problem Solving and Modeling & Data Analysis,2,At/Near Standard,2514,2480,2548,Communicating Reasoning,3,Above Standard,2624,2553,2694,\N,\N,\N,\N,\N,\N,2015,Math,49c6e6a6-b2f1-11e4-83e0-406c8f57365f,ca-9c2c-4,,4,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
510,6861,3,Grade 3 Math Summative (Final),Summative (Final),\N,4,Standard Exceeded,2514,2497,2531,Concepts & Procedures,3,Above Standard,\N,\N,\N,Problem Solving & Modeling/Data,2,At/Near Standard,\N,\N,\N,Communicating Reasoning,3,Above Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
513,6840,3,Grade 3 Math Summative (Final),Summative (Final),\N,3,Standard Met,2443,2426,2460,Concepts & Procedures,2,At/Near Standard,\N,\N,\N,Problem Solving & Modeling/Data,3,Above Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
575,7108,4,Grade 4 Math Summative (Final),Summative (Final),\N,2,Standard Nearly Met,2425,2406,2444,Concepts & Procedures,1,Below Standard,\N,\N,\N,Problem Solving & Modeling/Data,1,Below Standard,\N,\N,\N,Communicating Reasoning,1,Below Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
472,7076,4,Grade 4 Math Summative (Final),Summative (Final),\N,3,Standard Met,2504,2487,2521,Concepts & Procedures,2,At/Near Standard,\N,\N,\N,Problem Solving & Modeling/Data,2,At/Near Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
