Enrollment SCHOOL__C,School Name,Type,ADJUSTED_6_YEAR_GRADUATION_RATE__C,COMPETITIVENESS_RANKING__C,COMPETITIVENESS_INDEX__C
0018000000Y9oCLAAZ,Academy of Art University,Private 4 yr,32.7,Noncompetitive,0
0018000000Y9oCsAAJ,Agnes Scott College,Private 4 yr,66.7,Very Competitive,0.46
0018000000Y9oEUAAZ,Antelope Valley College,Public 2 yr,35.2,2 year (Noncompetiti,0
0018000000Y9oEbAAJ,Antioch University-Los Angeles,Private 4 yr,0,Not available,0
0018000000Y9oFJAAZ,Arizona State University,Public 4 yr,59.5,Competitive,-0.17
0018000000Y9oFYAAZ,Art Center College of Design,Private 4 yr,62.6,Not available,0
0018000000Y9oFjAAJ,Ashford University,Private 4 yr,21.5,Competitive,0
0018000000Y9oHHAAZ,Barnard College,Private 4 yr,89.7,Most Competitive+,1.96
0018000000Y9oHLAAZ,Barstow Community College,Public 2 yr,23.6,2 year (Noncompetiti,0
0018000000Y9oIhAAJ,Bethune-Cookman University,Private 4 yr,49.3,Less Competitive,-1.31
0018000000Y9oIqAAJ,Biola University,Private 4 yr,68.2,Very Competitive,0.19
0018000000Y9oJWAAZ,Boise State University,Public 4 yr,38.3,Competitive,-0.72
0018000000Y9oJeAAJ,Boston College,Private 4 yr,91.3,Most Competitive,1.92
0018000000Y9oJgAAJ,Boston University,Private 4 yr,84.5,Highly Competitive,1.37
0018000000Y9oJrAAJ,Bradley University,Private 4 yr,75.6,Very Competitive,0.23
0018000000Y9oJtAAJ,Brandeis University,Private 4 yr,89.6,Highly Competitive,2.16
0018000000Y9oK2AAJ,Briar Cliff University,Private 4 yr,44.4,Competitive,0
0018000000Y9oL4AAJ,Bucknell University,Private 4 yr,90.7,Most Competitive,1.69
0018000000Y9oLIAAZ,Butte College,Public 2 yr,34.9,2 year (Noncompetiti,0
0018000000Y9oLeAAJ,Le Cordon Bleu College of Culinary Arts-Pasadena,Private 2 yr,59,2 year (Noncompetiti,0
0018000000Y9oLfAAJ,California State Polytechnic University-Pomona,Public 4 yr,52.4,Competitive,-0.6
0018000000Y9oLgAAJ,California State University-Bakersfield,Public 4 yr,39.5,Less Competitive,-1.39
0018000000Y9oLhAAJ,California State University-Channel Islands,Public 4 yr,51.6,Competitive,0
0018000000Y9oLiAAJ,California State University-Chico,Public 4 yr,56.1,Competitive,-0.68
0018000000Y9oLjAAJ,California State University-Dominguez Hills,Public 4 yr,29.4,Less Competitive,-2.22
0018000000Y9oLkAAJ,California State University-East Bay,Public 4 yr,38.1,Competitive,-1.47
