,year,student_id,absence_rate,total
0,2015,12558,0.0764705882353,170
1,2016,14000,0.0,29
2,2014,11477,0.00578034682081,173
3,2015,15148,0.0240963855422,166
4,2016,7137,0.0,28
5,2014,10946,0.0114942528736,174
6,2015,13429,0.0238095238095,168
7,2014,11637,0.0059880239521,167
8,2015,11632,0.0127388535032,157
9,2015,12934,0.0355029585799,169
10,2015,12599,0.0284090909091,176
11,2014,13326,0.0,175
12,2015,14284,0.00568181818182,176
13,2016,16890,0.08,25
14,2015,14209,0.0,176
15,2016,7152,0.0,29
16,2015,11902,0.00581395348837,172
17,2016,12690,0.0,28
18,2016,12977,0.0,28
19,2013,6883,0.0,178
20,2014,10321,0.0,181
21,2014,3130,0.00574712643678,174
22,2015,6831,0.0180722891566,166
23,2015,11534,0.0231213872832,173
24,2016,15200,0.0,29
25,2014,12860,0.010989010989,182
26,2015,7003,0.0,46
27,2016,6588,0.0,27
28,2016,6758,0.0,29
29,2016,13114,0.0,29
30,2013,2423,0.00571428571429,175
31,2016,14963,0.0,29
32,2014,7094,0.0277777777778,180
33,2014,6908,0.0114942528736,174
34,2016,16066,0.0344827586207,29
35,2016,14669,0.0,29
36,2014,13106,0.0971428571429,175
37,2015,12706,0.0196078431373,153
38,2016,6881,0.0,29
39,2012,3404,0.0,6
40,2013,11808,0.1,30
41,2013,6621,0.00555555555556,180
42,2016,15515,0.0,29
43,2016,6811,0.0,28
44,2016,11977,0.103448275862,29
45,2015,6551,0.0175438596491,171
46,2016,14028,0.0,29
47,2013,10486,0.0279329608939,179
48,2013,2518,0.0283687943262,141
49,2014,12956,0.0828729281768,181
50,2013,3330,0.0350877192982,171
51,2015,6620,0.0348837209302,172
52,2012,2979,1.0,2
53,2014,3065,0.0285714285714,175
54,2012,2981,0.833333333333,6
55,2015,12785,0.00595238095238,168
56,2013,11793,0.0844155844156,154
57,2014,13548,0.181818181818,22
58,2012,6474,0.2,5
59,2013,10523,0.0,168
60,2016,15292,0.0,29
61,2016,16754,0.0,29
62,2015,13328,0.0117647058824,170
63,2015,12869,0.0,174
64,2016,15043,0.0714285714286,28
65,2013,6493,0.016393442623,183
66,2016,15633,0.0,27
67,2014,3265,0.0287356321839,174
68,2015,14904,0.213017751479,169
69,2012,3160,0.2,5
70,2012,2728,0.175438596491,57
71,2012,2565,0.142857142857,7
72,2013,11054,0.0402298850575,174
73,2016,13844,0.0,29
74,2013,3309,0.0,177
75,2015,13753,0.0231213872832,173
76,2016,13825,0.0,28
77,2013,3214,0.0,175
78,2015,12397,0.00584795321637,171
79,2016,7156,0.0,27
80,2014,11236,0.0,88
81,2014,11107,0.0,178
82,2016,15803,0.0,29
83,2014,3293,0.0228571428571,175
84,2015,3410,0.00584795321637,171
85,2015,15246,0.0103092783505,97
86,2016,16854,0.0,24
87,2013,11357,0.0342857142857,175
88,2014,13192,0.0169491525424,177
89,2016,11679,0.0,30
90,2013,10806,0.00564971751412,177
91,2016,15273,0.0,29
92,2015,14429,0.0176470588235,170
93,2014,6423,0.0166666666667,180
94,2012,2947,0.164179104478,67
95,2013,10930,0.0508474576271,177
96,2012,7048,1.0,3
97,2016,11885,0.0,30
98,2013,6737,0.00558659217877,179
99,2013,11298,0.0965909090909,176
100,2014,3506,0.00571428571429,175
101,2016,7160,0.0,29
102,2016,15973,0.0344827586207,29
103,2016,14221,0.0,28
104,2016,16843,0.0,25
105,2015,14573,0.00588235294118,170
106,2016,16893,0.0,22
107,2015,10855,0.0,173
108,2013,3348,0.0231213872832,173
109,2014,11887,0.0747126436782,174
110,2013,6979,0.00574712643678,174
111,2013,3094,0.0333333333333,180
112,2016,7177,0.0,28
113,2015,13790,0.0,175
114,2015,13049,0.0,170
115,2015,6491,0.0308641975309,162
116,2015,3359,0.0233918128655,171
117,2015,10903,0.0924855491329,173
118,2016,7092,0.0,29
119,2013,10655,0.0172413793103,174
120,2016,13512,0.0,22
121,2016,10178,0.0,29
122,2015,15113,0.00613496932515,163
123,2013,6532,0.0,177
124,2016,12832,0.0344827586207,29
125,2015,14577,0.00591715976331,169
126,2016,13838,0.0,29
127,2013,7089,0.00552486187845,181
128,2015,14588,0.0,176
129,2014,6511,0.0164835164835,182
130,2012,3334,0.0,1
131,2015,12047,0.0,173
132,2015,13654,0.00591715976331,169
133,2016,14418,0.0,27
134,2014,6890,0.0,174
135,2016,11284,0.0,27
136,2015,14242,0.0,174
137,2016,16604,0.0,5
138,2016,14628,0.0714285714286,28
139,2015,15031,0.0,172
140,2015,12712,0.0502793296089,179
141,2014,6739,0.0944444444444,180
142,2014,6429,0.109195402299,174
143,2016,12822,0.0,29
144,2014,3376,0.0228571428571,175
145,2016,13850,0.0,29
146,2012,3440,0.0,1
147,2015,6630,0.0,168
148,2014,13302,0.0163043478261,184
149,2015,12545,0.0,167
150,2014,11195,0.010989010989,182
151,2016,15098,0.0,32
152,2016,10396,0.0,29
153,2016,16186,0.0,29
154,2016,13675,0.0,28
155,2013,3509,0.0685714285714,175
156,2016,12865,0.0,29
157,2012,3215,0.0,18
158,2012,3958,0.222222222222,9
159,2014,7027,0.010989010989,182
160,2015,12767,0.0171428571429,175
161,2015,12441,0.0470588235294,170
162,2016,15172,0.0333333333333,30
163,2014,11980,0.404494382022,178
164,2012,2960,0.230769230769,13
165,2016,12602,0.0,29
166,2012,3397,0.117647058824,34
167,2012,3470,0.0,6
168,2015,4569,0.0114942528736,174
169,2016,15224,0.0,27
170,2014,6946,0.0285714285714,175
171,2015,6343,0.00574712643678,174
172,2015,6423,0.0457142857143,175
173,2015,14230,0.0,176
174,2014,12596,0.0171428571429,175
175,2012,2384,1.0,3
176,2012,6387,0.214285714286,14
177,2014,6579,0.00578034682081,173
178,2015,3454,0.0254777070064,157
179,2014,3446,0.00571428571429,175
180,2015,12322,0.00751879699248,133
181,2012,2279,0.0,1
182,2015,12914,0.0,162
183,2016,15703,0.0,29
184,2015,6668,0.00578034682081,173
185,2015,10757,0.0,14
186,2014,11536,0.0273224043716,183
187,2014,3532,0.0402298850575,174
188,2016,11146,0.0,29
189,2016,16995,0.0,3
190,2016,13217,0.0,29
191,2013,3274,0.00564971751412,177
192,2013,2392,0.0114285714286,175
193,2013,3344,0.0228571428571,175
194,2014,11168,0.0,175
195,2014,11409,0.0494505494505,182
196,2013,10756,0.028901734104,173
197,2015,14901,0.0705882352941,170
198,2016,15968,0.0,26
199,2014,11384,0.0581395348837,172
200,2014,11765,0.043956043956,182
201,2012,2869,0.214285714286,14
202,2016,16199,0.0,28
203,2015,12885,0.0248447204969,161
204,2015,3342,0.0342857142857,175
205,2015,7137,0.0120481927711,166
206,2016,13254,0.0769230769231,26
207,2013,11696,0.0928961748634,183
208,2015,12011,0.0697674418605,172
209,2015,14377,0.0114942528736,174
210,2015,12812,0.0,175
211,2013,11292,0.0218579234973,183
212,2013,3031,0.0333333333333,180
213,2015,14499,0.0,162
214,2015,11310,0.0,175
215,2016,14986,0.0,30
216,2016,14122,0.037037037037,27
217,2016,14625,0.0333333333333,30
218,2016,15699,0.0,29
219,2013,12038,0.0442477876106,113
220,2014,13393,0.00564971751412,177
221,2016,13663,0.0,29
222,2013,11863,0.051724137931,174
223,2014,11734,0.0511363636364,176
224,2012,3196,0.0,3
225,2016,12525,0.103448275862,29
226,2014,11833,0.174157303371,178
227,2014,13159,0.0722222222222,180
228,2014,13566,0.0204081632653,147
229,2012,3545,0.2,5
230,2016,13770,0.206896551724,29
231,2015,10982,0.0231213872832,173
232,2014,11234,0.0,174
233,2013,12023,0.0144927536232,138
234,2013,10265,0.0571428571429,175
