student_id,present_2012,present_2013,present_2014,present_2015,present_2016,excusedabsent_2012,excusedabsent_2013,excusedabsent_2014,excusedabsent_2015,excusedabsent_2016,excusedtardy_2012,excusedtardy_2013,excusedtardy_2014,excusedtardy_2015,excusedtardy_2016,absent_2012,absent_2013,absent_2014,absent_2015,absent_2016,tardy_2012,tardy_2013,tardy_2014,tardy_2015,tardy_2016,truant_2012,truant_2013,truant_2014,truant_2015,truant_2016,inschoolsuspension_2012,inschoolsuspension_2013,inschoolsuspension_2014,inschoolsuspension_2015,inschoolsuspension_2016,suspended_2012,suspended_2013,suspended_2014,suspended_2015,suspended_2016
10176,NA,180,176,164,28,NA,0,0,0,0,NA,0,0,0,0,NA,1,2,0,0,NA,0,2,3,0,NA,0,1,1,0,NA,0,0,0,0,NA,0,0,0,0
10178,NA,167,171,168,29,NA,0,0,0,0,NA,0,0,0,0,NA,1,2,2,0,NA,2,1,1,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10184,NA,NA,NA,NA,28,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0
10186,NA,133,88,118,21,NA,0,0,0,0,NA,0,0,0,0,NA,14,17,8,0,NA,21,51,32,2,NA,0,2,2,2,NA,0,0,0,0,NA,0,0,0,0
10187,NA,177,176,161,26,NA,0,0,0,0,NA,0,0,0,0,NA,3,4,7,0,NA,0,1,3,1,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10189,NA,172,175,173,28,NA,0,0,0,0,NA,0,0,0,0,NA,1,0,1,0,NA,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,1,0,0,0
10190,NA,NA,181,167,28,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,4,6,0,NA,NA,0,2,1,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0
10192,NA,NA,NA,165,29,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,4,0,NA,NA,NA,2,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
10198,NA,NA,149,146,29,NA,NA,0,0,0,NA,NA,0,1,0,NA,NA,6,3,0,NA,NA,25,11,0,NA,NA,1,4,0,NA,NA,0,0,0,NA,NA,0,0,0
10199,NA,156,142,165,27,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,24,37,10,2,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10203,NA,146,163,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,4,0,NA,NA,NA,26,8,NA,NA,NA,4,3,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA
10205,NA,142,164,151,26,NA,0,0,0,0,NA,1,0,0,0,NA,3,3,3,0,NA,27,4,20,3,NA,2,0,1,0,NA,0,0,0,0,NA,0,1,0,0
