student_id,math,ela,sum
6607,2463,2505,4968
14575,2514,2530,5044
14566,2506,2523,5029
14583,2378,2410,4788
6417,2503,2576,5079
14653,2641,2628,5269
6392,2513,2479,4992
15198,2317,2332,4649
11054,2598,\N,2598
10835,2491,2442,4933
11843,2456,2454,4910
10941,2598,2589,5187
11733,2624,2565,5189
3959,2362,2436,4798
6869,2419,2411,4830
7040,2610,2556,5166
14261,2641,2655,5296
14147,2416,2502,4918
6883,2433,2403,4836
13573,2326,2287,4613
7080,2440,2392,4832
6955,2516,2515,5031
14180,2522,2498,5020
6758,2508,2494,5002
6588,2432,2409,4841
6740,2501,2436,4937
3163,2589,2428,5017
3468,2577,2574,5151
13338,2525,2476,5001
3517,2625,2578,5203
14776,2382,2448,4830
3516,2609,2651,5260
3937,2540,2610,5150
3543,2649,2578,5227
11838,2560,2560,5120
11807,2359,2435,4794
11080,2369,2623,4992
14288,2415,2389,4804
11901,2416,2501,4917
13017,2541,2529,5070
10470,2554,2516,5070
11252,2598,2609,5207
13107,2325,2416,4741
3443,2530,2500,5030
3392,2660,2609,5269
3311,2739,2718,5457
3315,2469,2337,4806
3521,2569,2565,5134
11484,2497,2495,4992
14797,2336,2432,4768
3332,2513,2501,5014
3506,2633,2587,5220
3509,2620,2587,5207
10624,2581,2477,5058
13019,2325,2303,4628
11705,2517,2571,5088
13304,2481,2493,4974
3288,2733,2664,5397
12033,2494,2531,5025
3931,2550,2559,5109
11950,2733,2745,5478
13724,2496,2466,4962
3526,2654,2577,5231
3410,2676,2602,5278
3500,2734,2652,5386
11955,2471,2547,5018
11869,2435,2538,4973
10875,2487,2484,4971
7016,2443,2413,4856
10652,2540,2388,4928
13023,2452,2573,5025
14637,2621,2621,5242
11858,2380,2436,4816
14544,2604,2615,5219
11655,2478,2456,4934
12678,2510,2486,4996
14486,2342,2432,4774
11887,2512,2588,5100
12011,2359,2514,4873
6343,2576,2570,5146
10608,2733,2628,5361
10570,2604,2604,5208
11047,2673,2688,5361
12891,2517,2502,5019
12804,2546,2491,5037
12028,2565,2575,5140
7171,2429,2480,4909
12509,2596,2347,4943
11320,2559,2484,5043
14984,2325,2440,4765
12739,2518,2557,5075
12760,2516,2505,5021
11403,2484,2515,4999
12705,2369,2430,4799
13578,2635,2566,5201
12520,2571,2589,5160
13490,2458,2541,4999
14940,2584,2553,5137
6567,2506,2370,4876
13559,2493,2547,5040
13410,2411,2515,4926
11849,2360,2457,4817
14986,2573,2543,5116
6427,2594,2627,5221
6410,2541,2578,5119
12848,2548,2621,5169
12780,2551,2588,5139
12720,2468,2507,4975
11762,2334,2308,4642
11847,2336,2368,4704
10492,2681,2647,5328
13083,2499,2484,4983
3968,2546,2563,5109
13043,2526,2527,5053
11544,2683,2722,5405
12420,2694,2711,5405
12786,2672,2600,5272
6358,2546,2552,5098
12409,2550,2520,5070
15022,2396,2481,4877
6400,2538,2604,5142
12710,2335,2390,4725
13601,2641,2633,5274
7107,2453,2496,4949
14978,2502,2475,4977
13181,2533,2549,5082
13379,2394,2377,4771
14163,2524,2502,5026
12511,2500,2602,5102
13451,2500,2458,4958
11106,2492,2462,4954
15183,2390,2388,4778
6381,2545,2567,5112
6424,2624,2659,5283
10868,2452,2479,4931
14757,2564,2672,5236
12515,2643,2452,5095
14574,2483,2480,4963
15030,2516,2550,5066
13498,2310,2380,4690
12403,2403,2409,4812
14313,2606,2634,5240
14916,2482,2546,5028
11848,2526,2518,5044
6501,2509,2477,4986
13150,2486,2506,4992
13317,2562,2583,5145
13241,2546,2576,5122
12801,2582,2633,5215
14659,2433,2404,4837
12408,2509,2561,5070
14762,2490,2555,5045
13539,2554,2473,5027
14495,2597,2635,5232
13568,2644,2541,5185
14621,2525,2533,5058
13482,2388,2502,4890
12428,2631,2559,5190
13158,2748,2724,5472
6406,2446,2414,4860
12406,2508,2503,5011
13497,2527,2560,5087
6356,2577,2584,5161
13223,2516,2579,5095
13161,2450,2537,4987
6416,2604,2624,5228
13399,2518,2548,5066
14346,2493,2518,5011
12961,2561,2574,5135
13541,2502,2520,5022
14497,2507,2471,4978
14692,2429,2425,4854
14668,2451,2390,4841
14681,2496,2460,4956
14881,2455,2438,4893
14662,2562,2579,5141
14677,2557,2594,5151
14102,2625,2645,5270
14656,2471,2558,5029
14110,2547,2585,5132
10479,2556,2558,5114
14549,2517,2455,4972
11724,2523,2476,4999
13392,2657,2665,5322
14350,2557,2545,5102
14555,2577,2636,5213
7200,2605,2672,5277
14573,2467,2484,4951
14557,2587,2567,5154
14735,2436,2452,4888
14076,2517,2451,4968
14721,2438,2411,4849
14205,2546,2454,5000
14492,2471,2395,4866
6536,2439,2420,4859
6923,2530,2577,5107
6858,2569,2523,5092
6669,2520,2487,5007
7111,2496,2458,4954
14472,2498,2475,4973
11966,2548,2526,5074
13938,2484,2389,4873
14199,2491,2462,4953
6526,2561,2526,5087
6835,2621,2580,5201
7065,2532,2526,5058
13616,2375,2482,4857
14755,2461,2479,4940
10861,2563,2578,5141
14506,2495,2433,4928
6885,2514,2457,4971
4581,2390,2436,4826
7015,2384,2391,4775
6916,2476,2511,4987
13309,2508,2413,4921
14423,2421,2525,4946
14266,2418,2372,4790
7195,2604,2618,5222
14679,2598,2530,5128
14553,2475,2469,4944
6476,2466,2499,4965
6436,2557,2538,5095
3299,2428,2481,4909
6910,2548,2586,5134
14228,2529,2417,4946
7068,2557,2433,4990
7006,2426,2401,4827
7006,2426,2330,4756
6786,2568,2627,5195
14616,2603,2501,5104
7074,2404,2441,4845
6972,2515,2552,5067
6919,2529,2527,5056
6495,2585,2579,5164
16728,2504,2564,5068
6607,2463,2527,4990
6846,2513,2512,5025
6806,2435,2383,4818
6635,2436,2525,4961
6635,2436,2496,4932
6788,2621,2406,5027
6788,2621,2410,5031
6993,2590,2643,5233
6844,2499,2535,5034
6488,2555,2461,5016
6730,2546,2552,5098
